,License,Inspection_ID,seriousCount,minorCount,Facility_Type,pastFail,pastCritical,pastSerious,pastMinor,timeSinceLast,firstRecord,ageAtInspection,consumption_on_premises_incidental_activity,tobacco_retail_over_counter,package_goods,limited_business_license,outdoor_patio,public_place_of_amusement,childrens_services_facility_license,tavern,regulated_business_license,filling_station,caterers_liquor_license,mobile_food_license,heat_burglary,heat_garbage,heat_sanitation,Inspector_Assigned,precipIntensity,temperatureMax,windSpeed,humidity,criticalFound,last_check
20,1212,1300380,0,3,Restaurant,0,0,0,3,11.0,0,6.72876712328767,1,0,0,0,0,0,0,0,0,0,0,0,7.30122109547251,21.2318681710438,16.6370878387341,green,0.0012133333333333,43.0666666666667,7.82,0.72,0,0.0
21,1219,1235411,1,3,Restaurant,0,0,0,0,10.4,1,6.11780821917808,0,0,0,0,1,0,0,1,0,0,0,0,24.4895135919941,4.95583472930908,17.863092123091,green,0.0,68.6533333333333,10.3733333333333,0.54,0,0.14215476699444207
22,1219,1369836,1,5,Restaurant,1,0,1,3,13.0,0,7.18630136986301,0,0,0,0,0,0,0,0,0,0,0,0,25.5151784035492,8.6883308131761,21.4887218591261,blue,0.0002666666666666,55.23,9.07666666666667,0.69,0,0.0
23,1219,1434544,1,3,Restaurant,1,0,1,5,5.0,0,7.63561643835616,0,0,0,0,1,0,0,1,0,0,0,0,10.6108132694384,4.81881317673036,10.0639596189408,blue,0.0002,54.4766666666667,14.59,0.543333333333333,0,0.0
24,1226,1154674,0,4,Grocery_Store,0,0,0,0,10.4,1,5.97808219178082,0,1,1,1,0,0,0,0,0,0,0,0,6.13207826099394,5.68794924644439,1.15084047026798,orange,0.00014,43.62,8.46666666666667,0.68,0,0.14215476699444207
25,1237,1114588,0,7,Restaurant,0,0,0,0,10.4,1,6.54794520547945,1,0,0,0,0,0,0,0,0,0,0,0,14.4627990717754,0.18855860173882,8.88689955352522,orange,0.0,43.5133333333333,9.22333333333333,0.526666666666667,0,0.14215476699444207
26,1242,1138586,0,3,Restaurant,0,0,0,0,10.4,1,5.97534246575342,0,0,0,0,0,0,0,0,0,0,0,0,19.1553439399283,1.81744918581885e-05,4.14290722318277,green,0.0,44.7433333333333,9.96333333333333,0.656666666666667,0,0.14215476699444207
27,1242,1345474,0,4,Restaurant,0,0,0,3,9.0,0,6.76438356164384,0,0,0,0,0,0,0,0,0,0,0,0,16.6457832188877,1.94852497798086,3.36057651474839,yellow,0.0,78.0833333333333,5.75,0.623333333333333,0,0.0
28,1242,1372387,0,3,Restaurant,0,0,0,4,5.0,0,7.24109589041096,1,0,0,0,1,0,0,0,0,0,0,0,9.54684012458791,3.86037665777567e-05,1.97219222550035,green,0.0004,15.7033333333333,8.48333333333333,0.696666666666667,0,0.0
29,1246,1138824,0,5,Restaurant,0,0,0,0,10.4,1,6.9972602739726,0,0,0,0,0,0,0,1,0,0,0,0,29.1108231509757,3.03746043577311,36.9150136611083,green,0.0019,43.4933333333333,16.72,0.72,0,0.14215476699444207
30,1246,1401985,0,7,Restaurant,0,0,0,5,13.0,0,8.07671232876712,0,0,0,0,0,0,0,1,0,0,0,0,22.3732644714844,2.09627871516238,21.9977158855983,blue,0.0033666666666666,39.4066666666667,12.2833333333333,0.73,1,0.0
31,1254,1214758,1,7,Restaurant,0,0,0,0,10.4,1,5.48219178082192,0,0,0,0,0,0,0,0,0,0,0,0,0.0770026685055267,14.5878752372141,0.755909322521151,purple,0.01428,64.1833333333333,7.57333333333333,0.763333333333333,0,0.14215476699444207
32,1254,1360390,0,4,Restaurant,1,0,1,7,15.0,0,6.76438356164384,1,0,0,0,0,0,0,0,0,0,0,0,1.87881658909622,17.7618667822446,10.9935887355657,orange,0.0,78.0833333333333,5.75,0.623333333333333,0,0.0
33,1254,1434743,1,5,Restaurant,0,0,0,4,7.0,0,7.4027397260274,1,0,0,0,1,0,0,0,0,0,0,0,3.75471271880109,15.8510031445809,4.70745165776067,green,0.0002333333333333,52.1166666666667,4.99666666666667,0.616666666666667,0,0.0
34,1292,1279246,1,7,Restaurant,0,0,0,0,10.4,1,6.66849315068493,0,0,0,0,0,0,0,1,1,0,0,0,3.98581985081941,7.44906057183431,7.07882757262452,green,0.0088266666666666,65.01,13.8133333333333,0.753333333333333,0,0.14215476699444207
35,1303,1134722,2,4,Grocery_Store,0,0,0,0,10.4,1,5.9972602739726,0,1,1,1,0,0,0,0,0,0,0,0,33.8298544877556,9.70149220070948,40.4517890428022,green,0.00593,59.3466666666667,17.7833333333333,0.663333333333333,0,0.14215476699444207
36,1307,1092591,1,4,Grocery_Store,0,0,0,0,10.4,1,6.8054794520548,0,1,1,1,0,0,0,0,0,0,0,0,12.5529585011596,13.3767125540352,24.9008474378306,yellow,0.0013666666666666,75.63,7.79333333333333,0.693333333333333,0,0.14215476699444207
37,1315,679379,0,2,Grocery_Store,0,0,0,0,10.4,1,5.38082191780822,0,0,0,0,0,0,0,0,0,0,0,0,22.5647987985817,6.12035654257017,19.5868896402915,purple,0.0079866666666666,49.8566666666667,10.33,0.78,0,0.14215476699444207
38,1315,1198684,0,2,Grocery_Store,0,0,0,2,10.0,0,6.21369863013699,0,0,0,0,0,0,0,0,0,0,0,0,23.1830714549816,10.0870867111975,8.41983906172395,blue,0.0145866666666667,53.4966666666667,13.34,0.9,0,0.0
39,1315,1199267,0,6,Grocery_Store,0,0,0,2,10.0,0,7.09315068493151,0,1,1,1,0,0,0,0,0,0,0,0,22.2232007235825,15.5058460369702,77.888830044183,blue,0.0002,26.3133333333333,9.42333333333333,0.74,0,0.0
40,1319,569585,0,5,Grocery_Store,0,0,0,0,10.4,1,4.84657534246575,0,1,1,1,0,0,0,0,0,0,0,0,1.20117014282164,0.226194972422699,0.527531565267813,green,0.00756,66.2066666666667,9.83,0.73,0,0.14215476699444207
41,1319,1138559,1,8,Grocery_Store,0,0,0,5,13.0,0,5.92602739726027,0,0,0,0,0,0,0,0,0,0,0,0,2.02283054526621,7.87165996904595e-06,0.111604606113739,green,0.0028566666666666,64.27,14.2566666666667,0.663333333333333,0,0.0
42,1319,1369472,1,5,Grocery_Store,0,0,1,8,11.0,0,6.88767123287671,0,1,1,1,0,0,0,0,0,0,0,0,0.809462988481029,0.588223243519059,0.978709142849177,purple,0.0118333333333333,74.9733333333333,7.94666666666667,0.726666666666667,1,0.0
43,1323,1235258,0,2,Grocery_Store,0,0,0,0,10.4,1,6.12054794520548,0,0,0,0,0,0,0,0,0,0,0,0,16.3389533191395,5.38271538303791,16.614592421034,green,0.0,78.4533333333333,10.7066666666667,0.503333333333333,1,0.14215476699444207
44,1323,1235822,0,4,Grocery_Store,0,1,0,2,11.0,0,7.07671232876712,0,0,0,1,0,0,0,0,0,0,0,0,24.3573329399378,6.67893216378131,11.4065641838718,green,0.0020833333333333,72.8966666666667,6.25333333333333,0.62,0,1.0
45,1325,1188599,0,4,Grocery_Store,0,0,0,0,10.4,1,6.96164383561644,0,1,1,1,0,0,0,0,0,0,0,0,19.7300775654929,13.2094216476689,7.51470251029283,blue,0.0009633333333333,65.4766666666667,8.39333333333333,0.67,1,0.14215476699444207
46,1333,1134670,0,5,Grocery_Store,0,0,0,0,10.4,1,6.44931506849315,0,0,0,0,0,0,0,0,0,0,0,0,36.9122024450482,12.26870915218,36.784442037093,green,0.0052533333333333,70.4733333333333,9.2,0.813333333333333,0,0.14215476699444207
47,1333,1324691,0,5,Grocery_Store,0,0,0,5,11.0,0,7.36438356164384,0,1,1,1,0,0,0,0,0,0,0,0,17.9868069734955,5.91339936561049,31.1739711295421,yellow,0.0,63.6966666666667,7.81333333333333,0.65,0,0.0
48,1337,1271243,0,7,Grocery_Store,0,0,0,0,10.4,1,6.12328767123288,0,0,0,0,0,0,0,0,0,0,0,0,13.745027231837,18.1568811823788,2.57891752836703,brown,0.0004566666666666,79.52,12.2766666666667,0.486666666666667,0,0.14215476699444207
49,1337,1408206,0,5,Grocery_Store,0,0,0,7,18.0,0,7.67945205479452,0,1,1,1,0,0,0,0,0,0,0,0,1.94837089025401,16.7717998732317,13.7087716694223,green,0.0,30.4833333333333,12.6866666666667,0.72,0,0.0
50,1337,1424575,1,5,Grocery_Store,0,0,0,5,9.0,0,8.44383561643836,0,1,1,0,0,0,0,0,0,0,0,0,20.3891232811616,21.3845514187013,22.8189683371373,green,0.0002666666666666,54.93,7.38666666666667,0.75,0,0.0
51,1356,529535,0,2,Grocery_Store,0,0,0,0,10.4,1,5.72328767123288,0,0,0,1,0,0,0,0,0,0,0,0,11.0639189335903,7.27558417453311,6.40891075143692,orange,0.0,48.3166666666667,9.10333333333333,0.78,0,0.14215476699444207
52,1366,598578,0,5,Grocery_Store,0,0,0,0,10.4,1,5.68493150684932,0,0,0,1,0,0,0,0,0,0,0,0,16.9012129487784,9.63168968485534,15.7835243745332,brown,0.00088,30.9066666666667,13.6233333333333,0.676666666666667,0,0.14215476699444207
53,1366,1305445,1,5,Grocery_Store,0,0,0,5,21.0,0,7.44657534246575,0,0,0,1,0,0,0,0,0,0,0,0,27.3990535082351,11.1121215246848,12.6745529960687,orange,0.0005333333333333,47.55,8.98,0.69,1,0.0
54,1368,1072268,1,2,Grocery_Store,0,0,0,0,10.4,1,6.73698630136986,0,0,0,1,0,0,0,0,0,0,0,0,8.24700001599097,3.0888066712276,8.61910930528155,blue,0.0017133333333333,32.8666666666667,8.7,0.763333333333333,0,0.14215476699444207
55,1368,1296801,0,4,Grocery_Store,1,0,1,2,13.0,0,7.88219178082192,0,0,0,0,0,0,0,0,0,0,0,0,11.3028005824958,4.40748159300399,8.07634156066553,orange,0.0001333333333333,50.9666666666667,10.67,0.583333333333333,0,0.0
56,1372,604545,0,6,Grocery_Store,0,0,0,0,10.4,1,5.57808219178082,0,0,0,1,0,0,0,0,0,0,0,0,0.214719814163999,4.09359900738243,0.287124631685938,brown,4.66666666666667e-05,34.8166666666667,11.49,0.606666666666667,0,0.14215476699444207
57,1372,1353787,0,6,Grocery_Store,0,0,0,6,19.0,0,7.18904109589041,0,0,0,1,0,0,0,0,0,0,0,0,1.26891324682336,4.39999393892745,0.269116925366946,orange,0.00082,86.3966666666667,10.4966666666667,0.616666666666667,0,0.0
58,1375,1294249,1,4,Grocery_Store,0,0,0,0,10.4,1,6.35068493150685,0,0,0,0,0,0,0,0,0,0,0,0,26.0605161741513,25.5793536769596,42.9130282111041,yellow,0.0025033333333333,72.2366666666667,9.76,0.586666666666667,0,0.14215476699444207
59,1375,1322354,0,4,Grocery_Store,0,0,1,4,4.0,0,6.73698630136986,0,0,0,0,0,0,0,0,0,0,0,0,21.309633650246,23.1637798430009,32.2981443797237,green,0.0017133333333333,32.8666666666667,8.7,0.763333333333333,0,0.0
60,1375,1092794,0,3,Grocery_Store,0,0,0,4,11.0,0,7.70684931506849,0,1,0,1,0,0,0,0,0,0,0,0,16.4745988987046,9.48193276052623,45.1767191752094,yellow,0.0398333333333333,29.71,16.3233333333333,0.63,0,0.0
61,1380,1092451,0,3,Grocery_Store,0,0,0,0,10.4,1,7.06575342465753,0,0,0,0,0,0,0,0,0,0,0,0,24.4443729191005,4.49089927749922,20.7987068264018,yellow,0.0014066666666666,64.04,8.60333333333333,0.613333333333333,1,0.14215476699444207
62,1380,1396017,0,4,Grocery_Store,0,2,0,3,8.0,0,7.73424657534247,0,0,0,1,0,0,0,0,0,0,0,0,39.5779143359844,0.10232779638672,12.8265512951324,green,0.0013,23.6933333333333,7.95666666666667,0.706666666666667,1,1.0
63,1382,1098413,0,5,Grocery_Store,0,0,0,0,10.4,1,6.12328767123288,0,0,0,0,0,0,0,0,0,0,0,0,11.2444405188044,9.23973341496813,13.7257659460224,blue,0.0004566666666666,79.52,12.2766666666667,0.486666666666667,0,0.14215476699444207
64,1382,1188635,0,4,Grocery_Store,0,0,0,5,10.0,0,7.00821917808219,0,0,0,0,0,0,0,0,0,0,0,0,3.12086208426141,10.9023126262658,15.6125283126421,blue,0.0,79.4,9.33,0.44,1,0.0
65,1382,1395947,1,8,Grocery_Store,0,1,0,4,8.0,0,7.72876712328767,0,1,0,1,0,0,0,0,0,0,0,0,18.5346612526908,26.3281892639008,16.7964640873551,green,0.0022,25.6266666666667,6.14666666666667,0.73,1,1.0
66,1385,1322321,1,2,Grocery_Store,0,0,0,0,10.4,1,6.66027397260274,0,0,0,0,0,0,0,0,0,0,0,0,35.9791845849454,7.01267727984465,19.8773958388389,green,9.66666666666667e-05,42.9666666666667,14.0133333333333,0.653333333333333,0,0.14215476699444207
67,1385,1092797,0,5,Grocery_Store,0,0,1,2,12.0,0,7.70958904109589,0,0,0,1,0,0,0,0,0,0,0,0,23.9202026397832,3.28236885986139,59.6873892340227,yellow,0.0398,23.59,14.8966666666667,0.603333333333333,0,0.0
68,1388,577529,0,5,Grocery_Store,0,0,0,0,10.4,1,5.33150684931507,0,0,1,1,0,0,0,0,0,0,0,0,2.36903900234623,12.7851355732347,8.79961811927867,orange,0.0001833333333333,79.2166666666667,6.47666666666667,0.696666666666667,0,0.14215476699444207
69,1388,1150431,0,4,Grocery_Store,0,0,0,5,8.0,0,6.06027397260274,0,0,0,0,0,0,0,0,0,0,0,0,0.0029335266155642,8.14493607998265,2.06227381139095,brown,0.0,73.84,10.5633333333333,0.533333333333333,0,0.0
70,1388,1151190,0,4,Grocery_Store,0,0,0,4,9.0,0,6.85479452054795,0,0,1,1,0,0,0,0,0,0,0,0,5.31793094896081,12.2568623889448,0.059899627056228,brown,0.0,30.2366666666667,15.92,0.526666666666667,0,0.0
71,1392,1354202,0,5,Grocery_Store,0,0,0,0,10.4,1,7.24657534246575,0,0,0,1,0,0,0,0,0,0,0,0,1.52860152252597,10.7754304852474,7.27184666766171,orange,0.0003833333333333,77.5633333333333,5.76666666666667,0.606666666666667,0,0.14215476699444207
72,1394,1196312,0,5,Grocery_Store,0,0,0,0,10.4,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,21.5496593078073,16.7508803561924,17.5099165146672,green,0.00242,70.22,10.0833333333333,0.473333333333333,0,0.14215476699444207
73,1394,1235809,0,6,Grocery_Store,0,0,0,5,12.0,0,7.04109589041096,0,0,0,0,0,0,0,0,0,0,0,0,8.60300538851008,14.7343349439233,8.36577013370335,green,0.0076133333333333,68.18,9.42,0.763333333333333,0,0.0
74,1394,1107027,2,6,Grocery_Store,0,0,0,6,7.0,0,7.69041095890411,0,0,0,1,0,0,0,0,0,0,0,0,15.9600673049202,16.0249488582042,13.7327336145728,purple,0.0008666666666666,32.1533333333333,10.0633333333333,0.773333333333333,0,0.0
75,1398,1286327,1,5,Grocery_Store,0,0,0,0,10.4,1,7.38082191780822,0,1,0,1,0,0,0,0,0,0,0,0,43.7804373473435,41.1286051529526,34.4030071655072,green,0.0023666666666666,76.9466666666667,8.56333333333333,0.6,0,0.14215476699444207
76,1402,529351,0,5,Grocery_Store,0,0,0,0,10.4,1,5.43561643835616,0,0,0,1,0,0,0,0,0,0,0,0,5.62166678164509,15.8408341055777,8.23840955753898,orange,0.01197,49.2533333333333,18.21,0.773333333333333,0,0.14215476699444207
77,1402,1227759,0,4,Grocery_Store,0,0,0,5,16.0,0,6.77534246575342,0,0,0,0,0,0,0,0,0,0,0,0,8.20619819609573,12.6526905728096,43.2440630154351,orange,0.0018966666666666,35.9966666666667,17.5233333333333,0.64,0,0.0
78,1402,1151936,0,3,Grocery_Store,0,0,0,4,11.0,0,7.69041095890411,0,0,0,1,0,0,0,0,0,0,0,0,5.29839722351649,12.9942273895832,9.44812042523776,brown,0.0008666666666666,32.1533333333333,10.0633333333333,0.773333333333333,0,0.0
79,1404,1072333,0,3,Grocery_Store,0,0,0,0,10.4,1,6.87123287671233,0,0,0,0,0,0,0,0,0,0,0,0,7.30053863210064,14.9380866003906,8.64291154397163,blue,0.0,38.5433333333333,12.0266666666667,0.596666666666667,0,0.14215476699444207
80,1404,1401661,0,2,Grocery_Store,0,0,0,3,11.0,0,7.80821917808219,0,0,0,1,0,0,0,0,0,0,0,0,7.19854356299904,13.2276592125955,14.2996448305425,orange,0.0002666666666666,18.0733333333333,7.35333333333333,0.59,1,0.0
81,1404,1497767,0,3,Grocery_Store,0,1,0,2,7.0,0,8.41917808219178,0,0,0,0,0,0,0,0,0,0,0,0,18.3808461823789,21.1863685063099,40.0007616717145,orange,0.0056,62.7866666666667,7.87666666666667,0.726666666666667,0,1.0
82,1406,679825,0,4,Grocery_Store,0,0,0,0,10.4,1,5.82739726027397,0,0,0,1,0,0,0,0,0,0,0,0,3.67520305355185,3.56393846762864,10.1139576059619,brown,0.0,57.04,14.6133333333333,0.413333333333333,0,0.14215476699444207
83,1406,1353544,0,5,Grocery_Store,0,0,0,4,16.0,0,7.15342465753425,0,0,0,0,0,0,0,0,0,0,0,0,1.37866284603077,5.45660541263699,3.52065451473854,orange,0.0043133333333333,83.94,8.90333333333333,0.7,0,0.0
84,1406,1236137,0,5,Grocery_Store,0,0,0,5,6.0,0,7.65205479452055,0,0,0,1,0,0,0,0,0,0,0,0,12.4167728560836,1.37670347139779,7.58737978928201,green,0.0032333333333333,20.4666666666667,18.91,0.71,0,0.0
85,1409,1271463,1,6,Grocery_Store,0,0,0,0,10.4,1,6.55890410958904,0,0,0,0,0,0,0,0,0,0,0,0,8.95520948873288,9.39982298587904,16.0047932879629,brown,0.0004666666666666,63.08,11.49,0.793333333333333,1,0.14215476699444207
86,1409,1166279,0,2,Grocery_Store,1,2,1,6,4.0,0,6.93150684931507,0,0,0,1,0,0,0,0,0,0,0,0,14.1031827912253,11.1454598559817,8.15942768922963,yellow,0.0304733333333333,54.4166666666667,11.66,0.786666666666667,0,1.0
87,1411,1387660,0,3,Grocery_Store,0,0,0,0,10.4,1,8.35890410958904,0,0,0,0,0,0,0,0,0,0,0,0,6.81505401649269,6.59862502913889,1.55066953286192,green,0.002,74.0833333333333,11.39,0.686666666666667,1,0.14215476699444207
88,1425,1360353,0,6,Restaurant,0,0,0,0,10.4,1,7.50958904109589,0,0,0,0,0,0,0,0,0,0,0,0,47.3206434253395,14.9126333128109,35.8412874220583,yellow,0.0,76.5766666666667,5.73666666666667,0.61,0,0.14215476699444207
89,1429,1319925,1,6,Grocery_Store,0,0,0,0,10.4,1,7.27397260273973,0,1,1,0,0,0,0,0,0,0,0,0,80.400470222002,7.70196529322395,27.9426813784986,blue,0.0027666666666666,44.5333333333333,5.79666666666667,0.746666666666667,1,0.14215476699444207
90,1434,1300964,0,5,Restaurant,0,0,0,0,10.4,1,6.09315068493151,0,0,0,0,0,1,0,1,0,0,0,0,15.6569914947476,12.4336801763103,24.8723730713407,brown,0.00246,46.7333333333333,10.02,0.773333333333333,0,0.14215476699444207
91,1434,1496854,0,6,Restaurant,0,0,0,5,21.0,0,7.84383561643836,0,0,0,0,0,1,0,1,0,0,0,0,23.2012138938577,28.76105149025,21.9693164651419,orange,6.66666666666667e-05,63.57,3.25666666666667,0.723333333333333,0,0.0
92,1447,567590,1,0,Restaurant,0,0,0,0,10.4,1,5.3013698630137,1,0,0,0,0,0,0,0,0,0,0,0,4.96616744426031,0.0246366060536412,8.85971739869199,green,0.00083,87.0566666666667,8.03,0.63,1,0.14215476699444207
93,1447,1327249,1,3,Restaurant,1,2,1,0,19.0,0,6.86301369863014,1,0,0,0,0,0,0,0,0,0,0,0,19.2161523926375,2.99907147490797,37.2334438226968,yellow,9.66666666666667e-05,35.5066666666667,10.87,0.626666666666667,0,1.0
94,1462,1286026,2,5,Restaurant,0,0,0,0,10.4,1,5.93698630136986,0,0,0,0,1,1,0,1,0,0,0,0,24.3464491794438,20.8662777807871,42.0200324910751,green,0.0021,58.51,8.49333333333333,0.756666666666667,0,0.14215476699444207
