,License,criticalCount,seriousCount,minorCount,Facility_Type,pass_flag,fail_flag,pastFail,pastCritical,pastSerious,pastMinor,timeSinceLast,firstRecord,ageAtInspection,consumption_on_premises_incidental_activity,tobacco_retail_over_counter,package_goods,limited_business_license,outdoor_patio,public_place_of_amusement,childrens_services_facility_license,tavern,regulated_business_license,filling_station,caterers_liquor_license,mobile_food_license,heat_burglary,heat_garbage,heat_sanitation,Inspector_Assigned,precipIntensity,temperatureMax,windSpeed,humidity,criticalFound,last_check
20,1333,0,0,5,Grocery_Store,1,0,0,0,0,5,11,0,7.36438356164384,0,1,1,1,0,0,0,0,0,0,0,0,17.9868069734955,5.91339936561049,31.1739711295421,yellow,0.0,63.6966666666667,7.81333333333333,0.65,0,0
21,1337,0,0,5,Grocery_Store,1,0,0,0,0,7,18,0,7.67945205479452,0,1,1,1,0,0,0,0,0,0,0,0,1.94837089025401,16.7717998732317,13.7087716694223,green,0.0,30.4833333333333,12.6866666666667,0.72,0,0
22,1337,0,1,5,Grocery_Store,0,1,0,0,0,5,9,0,8.44383561643836,0,1,1,0,0,0,0,0,0,0,0,0,20.3891232811616,21.3845514187013,22.8189683371373,green,0.0002666666666666,54.93,7.38666666666667,0.75,0,0
23,1366,1,1,5,Grocery_Store,0,1,0,0,0,5,21,0,7.44657534246575,0,0,0,1,0,0,0,0,0,0,0,0,27.3990535082351,11.1121215246848,12.6745529960687,orange,0.0005333333333333,47.55,8.98,0.69,1,0
24,1368,0,0,4,Grocery_Store,1,0,1,0,1,2,13,0,7.88219178082192,0,0,0,0,0,0,0,0,0,0,0,0,11.3028005824958,4.40748159300399,8.07634156066553,orange,0.0001333333333333,50.9666666666667,10.67,0.583333333333333,0,0
25,1372,0,0,6,Grocery_Store,1,0,0,0,0,6,19,0,7.18904109589041,0,0,0,1,0,0,0,0,0,0,0,0,1.26891324682336,4.39999393892745,0.269116925366946,orange,0.00082,86.3966666666667,10.4966666666667,0.616666666666667,0,0
26,1375,0,0,4,Grocery_Store,1,0,0,0,1,4,4,0,6.73698630136986,0,0,0,0,0,0,0,0,0,0,0,0,21.309633650246,23.1637798430009,32.2981443797237,green,0.0017133333333333,32.8666666666667,8.7,0.763333333333333,0,0
27,1375,0,0,3,Grocery_Store,1,0,0,0,0,4,11,0,7.70684931506849,0,1,0,1,0,0,0,0,0,0,0,0,16.4745988987046,9.48193276052623,45.1767191752094,yellow,0.0398333333333333,29.71,16.3233333333333,0.63,0,0
28,1380,2,0,4,Grocery_Store,0,0,0,2,0,3,8,0,7.73424657534247,0,0,0,1,0,0,0,0,0,0,0,0,39.5779143359844,0.10232779638672,12.8265512951324,green,0.0013,23.6933333333333,7.95666666666667,0.706666666666667,1,1
29,1382,1,0,4,Grocery_Store,0,0,0,0,0,5,10,0,7.00821917808219,0,0,0,0,0,0,0,0,0,0,0,0,3.12086208426141,10.9023126262658,15.6125283126421,blue,0.0,79.4,9.33,0.44,1,0
30,1382,1,1,8,Grocery_Store,0,0,0,1,0,4,8,0,7.72876712328767,0,1,0,1,0,0,0,0,0,0,0,0,18.5346612526908,26.3281892639008,16.7964640873551,green,0.0022,25.6266666666667,6.14666666666667,0.73,1,1
31,1385,0,0,5,Grocery_Store,1,0,0,0,1,2,12,0,7.70958904109589,0,0,0,1,0,0,0,0,0,0,0,0,23.9202026397832,3.28236885986139,59.6873892340227,yellow,0.0398,23.59,14.8966666666667,0.603333333333333,0,0
32,1388,0,0,4,Grocery_Store,1,0,0,0,0,5,8,0,6.06027397260274,0,0,0,0,0,0,0,0,0,0,0,0,0.0029335266155642,8.14493607998265,2.06227381139095,brown,0.0,73.84,10.5633333333333,0.533333333333333,0,0
33,1388,0,0,4,Grocery_Store,1,0,0,0,0,4,9,0,6.85479452054795,0,0,1,1,0,0,0,0,0,0,0,0,5.31793094896081,12.2568623889448,0.059899627056228,brown,0.0,30.2366666666667,15.92,0.526666666666667,0,0
34,1394,0,0,6,Grocery_Store,1,0,0,0,0,5,12,0,7.04109589041096,0,0,0,0,0,0,0,0,0,0,0,0,8.60300538851008,14.7343349439233,8.36577013370335,green,0.0076133333333333,68.18,9.42,0.763333333333333,0,0
35,1394,0,2,6,Grocery_Store,0,1,0,0,0,6,7,0,7.69041095890411,0,0,0,1,0,0,0,0,0,0,0,0,15.9600673049202,16.0249488582042,13.7327336145728,purple,0.0008666666666666,32.1533333333333,10.0633333333333,0.773333333333333,0,0
36,1402,0,0,4,Grocery_Store,1,0,0,0,0,5,16,0,6.77534246575342,0,0,0,0,0,0,0,0,0,0,0,0,8.20619819609573,12.6526905728096,43.2440630154351,orange,0.0018966666666666,35.9966666666667,17.5233333333333,0.64,0,0
37,1402,0,0,3,Grocery_Store,1,0,0,0,0,4,11,0,7.69041095890411,0,0,0,1,0,0,0,0,0,0,0,0,5.29839722351649,12.9942273895832,9.44812042523776,brown,0.0008666666666666,32.1533333333333,10.0633333333333,0.773333333333333,0,0
38,1404,1,0,2,Grocery_Store,0,0,0,0,0,3,11,0,7.80821917808219,0,0,0,1,0,0,0,0,0,0,0,0,7.19854356299904,13.2276592125955,14.2996448305425,orange,0.0002666666666666,18.0733333333333,7.35333333333333,0.59,1,0
39,1404,0,0,3,Grocery_Store,1,0,0,1,0,2,7,0,8.41917808219178,0,0,0,0,0,0,0,0,0,0,0,0,18.3808461823789,21.1863685063099,40.0007616717145,orange,0.0056,62.7866666666667,7.87666666666667,0.726666666666667,0,1
40,1406,0,0,5,Grocery_Store,1,0,0,0,0,4,16,0,7.15342465753425,0,0,0,0,0,0,0,0,0,0,0,0,1.37866284603077,5.45660541263699,3.52065451473854,orange,0.0043133333333333,83.94,8.90333333333333,0.7,0,0
41,1406,0,0,5,Grocery_Store,1,0,0,0,0,5,6,0,7.65205479452055,0,0,0,1,0,0,0,0,0,0,0,0,12.4167728560836,1.37670347139779,7.58737978928201,green,0.0032333333333333,20.4666666666667,18.91,0.71,0,0
42,1409,0,0,2,Grocery_Store,1,0,1,2,1,6,4,0,6.93150684931507,0,0,0,1,0,0,0,0,0,0,0,0,14.1031827912253,11.1454598559817,8.15942768922963,yellow,0.0304733333333333,54.4166666666667,11.66,0.786666666666667,0,1
43,1434,0,0,6,Restaurant,1,0,0,0,0,5,21,0,7.84383561643836,0,0,0,0,0,1,0,1,0,0,0,0,23.2012138938577,28.76105149025,21.9693164651419,orange,6.66666666666667e-05,63.57,3.25666666666667,0.723333333333333,0,0
44,1447,0,1,3,Restaurant,0,1,1,2,1,0,19,0,6.86301369863014,1,0,0,0,0,0,0,0,0,0,0,0,19.2161523926375,2.99907147490797,37.2334438226968,yellow,9.66666666666667e-05,35.5066666666667,10.87,0.626666666666667,0,1
45,1462,0,0,2,Restaurant,1,0,0,0,2,5,13,0,7.07123287671233,0,0,0,0,0,0,0,0,0,0,0,0,23.7926416143041,22.0342692942385,65.7910564003569,green,0.0012333333333333,23.5833333333333,9.63666666666667,0.683333333333333,0,0
46,1462,0,0,5,Restaurant,1,0,0,0,0,2,9,0,7.87671232876712,0,0,0,0,1,1,0,1,0,0,0,0,27.983547787098,15.6033617056158,56.598119852958,blue,0.0,74.6433333333333,3.29,0.763333333333333,0,0
47,1491,1,1,9,Restaurant,0,1,0,0,0,2,13,0,6.47671232876712,0,0,0,0,0,0,0,0,0,0,0,0,28.3731828052726,1.52271534723292,14.1543473983945,orange,9.66666666666667e-05,60.87,8.77333333333333,0.556666666666667,1,0
48,1525,0,0,3,Restaurant,1,0,0,0,0,3,3,0,6.25479452054795,0,0,0,0,0,0,0,0,0,0,0,0,45.7062040743099,6.31094532624143,36.4548018708121,green,0.0003833333333333,72.9466666666667,10.1433333333333,0.43,0,0
49,1525,0,0,3,Restaurant,1,0,0,0,0,3,7,0,6.8986301369863,1,0,0,0,1,0,0,0,0,0,0,0,35.5340859427151,10.5518713891894,28.9725911540573,green,0.0002833333333333,37.0766666666667,12.7133333333333,0.743333333333333,0,0
50,1525,0,0,4,Restaurant,1,0,0,0,0,6,21,0,8.68493150684932,1,0,0,0,1,0,0,0,0,0,0,0,39.6809758146047,9.3789670438701,69.3312096668534,yellow,0.0002666666666666,55.9633333333333,8.93,0.743333333333333,0,0
51,1529,0,0,5,Restaurant,1,0,0,0,0,5,17,0,7.56712328767123,1,1,1,0,0,0,0,0,0,0,0,0,10.4755717895406,32.7077568484557,19.1890803444108,orange,4.66666666666667e-05,82.71,9.36666666666667,0.646666666666667,0,0
52,1542,0,0,5,Restaurant,1,0,1,0,1,9,26,0,7.55890410958904,1,0,0,0,0,0,0,0,0,0,0,0,12.3672748846811,11.5561469931699,58.3189375963169,yellow,0.0004333333333333,21.3633333333333,6.53333333333333,0.623333333333333,0,0
53,1553,0,0,2,Restaurant,1,0,0,0,0,3,7,0,6.41917808219178,1,0,0,0,0,0,0,0,0,0,0,0,10.1362244243004,30.3837942477532,6.91932426386824,brown,0.00521,45.8733333333333,12.5466666666667,0.806666666666667,0,0
54,1553,0,0,1,Restaurant,1,0,0,0,0,2,12,0,7.44657534246575,0,0,0,0,0,0,0,0,0,0,0,0,3.81610871278638,9.602386784388,1.59559497236455,orange,0.0002,15.1166666666667,12.4266666666667,0.633333333333333,0,0
55,1553,0,0,2,Restaurant,1,0,0,0,0,1,8,0,8.15068493150685,1,0,0,0,0,0,0,0,0,0,0,0,8.72084397218341,15.6997390625998,8.08569024015977,orange,0.0001666666666666,60.2933333333333,10.4133333333333,0.623333333333333,0,0
56,1567,0,0,4,Grocery_Store,1,0,0,0,0,4,12,0,8.55342465753425,0,1,1,0,0,0,0,0,0,0,0,0,9.88476686176861,47.8912167978606,44.1917982815606,green,0.0015,81.1366666666667,6.73666666666667,0.696666666666667,0,0
57,1599,0,0,4,Restaurant,1,0,0,0,0,4,5,0,6.29041095890411,0,0,0,0,0,0,0,0,0,0,0,0,10.3540051845377,17.4116195064209,7.02007304615386,green,0.001,80.42,13.1,0.463333333333333,0,0
58,1599,0,0,5,Restaurant,1,0,0,0,0,4,11,0,7.27123287671233,1,0,0,0,0,0,0,0,0,0,0,0,16.6884393492191,30.1455975223412,28.3253198093593,yellow,0.0129533333333333,68.6366666666667,14.3166666666667,0.75,0,0
59,1655,1,0,5,Restaurant,0,0,1,1,1,4,13,0,6.78904109589041,1,0,0,0,0,0,0,0,0,0,0,0,30.9101617547672,3.08829938764663,13.4034906562107,blue,0.0076133333333333,68.18,9.42,0.763333333333333,1,1
60,1655,0,0,2,Restaurant,1,0,0,1,0,5,9,0,7.57260273972603,1,0,0,0,0,0,0,0,0,0,0,0,24.2102611105938,2.76549814022341,1.50493029321076,blue,6.66666666666667e-05,44.4366666666667,13.3366666666667,0.703333333333333,0,1
61,1673,1,1,7,Restaurant,0,1,0,0,0,4,26,0,7.73698630136986,1,0,0,0,0,0,0,0,0,0,0,0,15.9104014156012,0.001823455103986,6.20741024384206,blue,0.0013,20.16,10.69,0.72,1,0
62,1726,0,0,5,Restaurant,1,0,0,0,0,4,19,0,7.41917808219178,1,1,0,0,0,0,0,0,0,0,0,0,12.0107930653706,24.642587040068,15.2352059852948,brown,0.0007033333333333,85.0566666666667,7.15333333333333,0.683333333333333,0,0
63,1732,0,0,9,Restaurant,1,0,0,0,0,4,10,0,6.42739726027397,0,0,0,0,0,0,0,0,0,0,0,0,14.270688119321,1.32984379021189,13.5531918867298,orange,0.0053733333333333,65.02,13.6633333333333,0.716666666666667,0,0
64,1732,1,0,7,Restaurant,0,0,0,0,0,9,10,0,7.28767123287671,1,0,0,0,0,0,0,0,0,0,0,0,6.09386356017991,2.94156462749811e-05,10.937871797302,orange,0.0,85.7466666666667,9.27333333333333,0.583333333333333,1,0
65,1750,0,1,4,Restaurant,0,1,0,0,1,4,3,0,7.19178082191781,1,0,0,0,0,0,0,0,0,0,0,0,9.36994350063289,32.025025652939,56.1676069978097,green,0.0069933333333333,56.1966666666667,11.09,0.616666666666667,0,0
66,1753,0,1,6,Restaurant,0,1,0,0,0,3,12,0,6.91506849315068,1,0,0,0,0,0,0,0,0,0,0,0,6.38130689484909,20.7784442100328,16.2309824399463,yellow,0.00521,45.8733333333333,12.5466666666667,0.806666666666667,0,0
67,1766,0,2,3,Restaurant,0,1,0,2,0,9,14,0,7.17260273972603,0,0,0,0,0,0,0,0,0,0,0,0,9.04679391444657,16.9352956264102,27.3263026555766,blue,0.01416,54.95,12.6566666666667,0.723333333333333,0,1
68,1766,0,1,4,Restaurant,0,0,1,0,2,3,9,0,7.95616438356164,0,0,0,0,0,0,0,0,0,0,0,0,8.80526704626178,54.9161894104628,37.1443541571161,green,0.0398,14.09,13.28,0.62,0,0
69,1766,0,0,5,Restaurant,1,0,0,0,1,4,9,0,8.70958904109589,1,0,0,0,1,1,0,0,0,0,0,0,5.75106953924703,25.1796261341036,35.8776707455775,green,0.0010666666666666,54.7633333333333,9.25666666666667,0.703333333333333,0,0
70,1791,0,2,2,Restaurant,0,1,0,0,0,6,10,0,7.32602739726027,1,0,0,0,0,0,0,0,0,0,0,0,23.2822576805438,21.3368158512333,47.6732271932335,yellow,4.66666666666667e-05,86.4733333333333,10.2133333333333,0.68,0,0
71,1794,0,0,6,Restaurant,1,0,0,0,0,2,6,0,6.29041095890411,0,0,0,0,0,0,0,0,0,0,0,0,10.7435891844646,17.1682853018724,12.1223583143994,orange,0.001,80.42,13.1,0.463333333333333,0,0
72,1794,0,0,3,Restaurant,1,0,0,0,0,6,14,0,7.47397260273973,0,0,0,0,0,0,0,0,0,0,0,0,4.82400740441451,8.62573266883801,4.47040219751308,orange,0.00047,73.0966666666667,8.58,0.646666666666667,0,0
73,1838,0,0,4,Restaurant,1,0,0,0,0,5,8,0,7.38082191780822,1,0,0,0,0,0,0,0,0,0,0,0,1.90863887677886,4.64884437822635,7.38216968595909,orange,0.0,67.91,13.8233333333333,0.63,0,0
74,1865,0,0,8,Grocery_Store,1,0,0,2,0,5,13,0,6.15616438356164,0,0,1,1,0,0,0,0,0,0,0,0,28.5535227681225,16.0780008779837,28.945528353914,blue,9.66666666666667e-05,42.9666666666667,14.0133333333333,0.653333333333333,0,1
75,1865,0,0,7,Grocery_Store,1,0,0,0,0,8,12,0,7.2027397260274,0,0,1,0,0,0,0,0,0,0,0,0,43.0505032187417,15.1321481273731,20.7222612564062,green,0.0398333333333333,29.71,16.3233333333333,0.63,0,0
76,1872,0,0,7,Restaurant,1,0,0,0,0,7,8,0,6.27123287671233,0,0,0,0,0,0,0,0,0,0,0,0,5.88213215545363,40.9811207190518,14.2274868277768,brown,0.0018966666666666,35.9966666666667,17.5233333333333,0.64,0,0
77,1876,0,0,5,Grocery_Store,1,0,0,0,0,5,8,0,6.04109589041096,0,0,0,0,0,0,0,0,0,0,0,0,19.3837357404975,29.3652303842526,20.0751368710566,brown,0.0153066666666667,79.7166666666667,6.84666666666667,0.69,0,0
78,1876,0,0,1,Grocery_Store,1,0,0,0,0,5,7,0,6.69041095890411,0,0,1,0,0,0,0,0,0,0,0,0,33.1480979719999,20.8790067943173,54.7473172719312,yellow,0.0010666666666666,53.61,11.0866666666667,0.473333333333333,0,0
79,1918,0,0,1,Restaurant,1,0,0,0,0,1,13,0,6.67397260273973,0,0,0,0,0,0,0,0,0,0,0,0,14.2847751936935,0.128226173448744,6.32766756361527,yellow,0.0007033333333333,87.35,6.46666666666667,0.67,0,0
80,1918,0,0,1,Restaurant,1,0,0,0,0,1,4,0,7.07123287671233,0,0,0,0,0,0,0,0,0,0,0,0,8.66917031553835,1.95965348219403,9.03186768421186,yellow,0.0012333333333333,23.5833333333333,9.63666666666667,0.683333333333333,0,0
81,1922,0,0,2,Restaurant,1,0,0,0,0,5,13,0,6.67397260273973,0,0,0,0,0,0,0,0,0,0,0,0,14.2847751936935,0.128226173448744,6.32766756361527,yellow,0.0007033333333333,87.35,6.46666666666667,0.67,0,0
82,1925,0,0,0,Restaurant,1,0,0,0,0,0,13,0,6.67397260273973,0,0,0,0,0,0,0,0,0,0,0,0,14.2847751936935,0.128226173448744,6.32766756361527,purple,0.0007033333333333,87.35,6.46666666666667,0.67,0,0
83,1925,0,0,0,Restaurant,1,0,0,0,0,0,5,0,7.0986301369863,0,0,0,0,0,0,0,0,0,0,0,0,10.6204213330707,2.11490569390338,7.7028812902827,yellow,0.0006,35.9033333333333,9.1,0.736666666666667,0,0
